DISTRICTE,date,source,value,window_7d_mean,window_30d_mean,District
03,2018-01-18,vri,0.028208861186094,0.0286346701482022,0.0281522083849529,Sants-Montjuïc
04,2018-01-18,vri,0.0475100583283917,0.0482218366314595,0.0475040680344891,Les Corts
07,2018-01-18,vri,0.0310418751043684,0.0314279480988261,0.0309001021920622,Horta-Guinardó
06,2018-01-18,vri,0.0491648666408489,0.0498709923374978,0.0490097877352153,Gràcia
02,2018-01-18,vri,0.0421861298343625,0.0428179687592458,0.0421819080204485,Eixample
01,2018-01-18,vri,0.0334275053736359,0.0339332377249633,0.0334464597898147,Ciutat Vella
08,2018-01-18,vri,0.0264100467206126,0.0268065798793241,0.0263992643390531,Nou Barris
10,2018-01-18,vri,0.0350757671137404,0.0356236099039164,0.0350532634945793,Sant Martí
09,2018-01-18,vri,0.0243333438455313,0.024627359960382,0.0242292157856605,Sant Andreu
05,2018-01-19,vri,0.0234173698124026,0.024514262091583,0.0238718635046035,Sarrià-Sant Gervasi
03,2018-01-19,vri,0.0274259351235778,0.0285481393083144,0.0278043194291559,Sants-Montjuïc
04,2018-01-19,vri,0.0461922204276925,0.0481006060390203,0.0469099917489058,Les Corts
07,2018-01-19,vri,0.030006496149452,0.0313375576148925,0.030517052312301,Horta-Guinardó
06,2018-01-19,vri,0.0474785004912429,0.0497359071788678,0.0484094868535011,Gràcia
02,2018-01-19,vri,0.0409320264514145,0.0427053185755409,0.0416548879724448,Eixample
01,2018-01-19,vri,0.032487167980144,0.0338570983477392,0.0330234780417585,Ciutat Vella
08,2018-01-19,vri,0.0255884494843694,0.0267249867372978,0.0260653266887465,Nou Barris
10,2018-01-19,vri,0.0339899715364634,0.0355351526080853,0.0346180133388462,Sant Martí
09,2018-01-19,vri,0.0235034242554866,0.0245674303324191,0.0239239504389906,Sant Andreu
05,2018-01-20,vri,0.0239679326312793,0.0245420804861194,0.0238253529853672,Sarrià-Sant Gervasi
03,2018-01-20,vri,0.0277891126547033,0.0285789045300631,0.027752033433117,Sants-Montjuïc
04,2018-01-20,vri,0.047071649837317,0.0481663927083732,0.0468135604867619,Les Corts
07,2018-01-20,vri,0.030685326230055,0.0313799747157027,0.0304563988551199,Horta-Guinardó
06,2018-01-20,vri,0.0486762276607684,0.0497850659352125,0.0483129733975169,Gràcia
02,2018-01-20,vri,0.0417342288046199,0.0427824459842336,0.0415701589728196,Eixample
01,2018-01-20,vri,0.0330684035932563,0.0339055185523617,0.0329549165135239,Ciutat Vella
08,2018-01-20,vri,0.0261228088069251,0.0267725973795988,0.0260138627886521,Nou Barris
10,2018-01-20,vri,0.0347557833464758,0.0355928186775045,0.0345462269697676,Sant Martí
09,2018-01-20,vri,0.0239534829553457,0.024614541385939,0.0238719953645489,Sant Andreu
05,2018-01-21,vri,0.0287582034013589,0.0246309246011893,0.0237967654060831,Sarrià-Sant Gervasi
03,2018-01-21,vri,0.0335114339521054,0.0286877023797688,0.027718017708381,Sants-Montjuïc
04,2018-01-21,vri,0.056431440241818,0.0483653725727953,0.0467480836483123,Les Corts
